elapsed_sec,raw_x,raw_y,raw_z
0.011,5552,584,14076
0.034,5836,-308,14396
0.048,6752,232,16064
0.059,7760,3684,14980
0.071,8104,6908,17768
0.081,5548,5768,14884
0.092,4452,-724,12140
0.103,3800,-6468,13732
0.114,4140,-8636,12084
0.125,5232,-4420,13576
0.136,5528,12,15288
0.146,6504,3400,16296
0.156,6796,3992,16340
0.168,5808,1992,14984
0.178,5596,-1260,13556
0.188,5424,-3064,13212
0.199,5416,-2728,13788
0.21,5928,-1592,14732
0.221,6212,-1204,14932
0.232,5872,-1960,14228
0.243,6100,-2552,14256
0.265,6148,-2160,14796
0.277,6448,-1292,15160
0.288,6728,-464,15860
0.298,7024,-180,15988
0.309,6948,-84,15788
0.319,6820,180,15448
0.33,6272,-352,14176
0.34,5948,-1424,13360
0.351,5936,-1104,13852
0.361,6888,140,15368
0.371,8444,2576,17224
0.382,7860,4724,17392
0.392,6832,5108,16008
0.403,6268,3016,14720
0.414,5764,356,14500
0.425,5816,-1800,13348
0.436,4932,-3284,12856
0.446,5456,-3160,13924
0.456,5700,-864,14572
0.467,5824,1380,15128
0.478,6188,2448,15500
0.489,6128,1740,15352
0.499,5780,1120,14756
0.51,5248,-108,14092
0.522,4404,-1836,13384
0.533,5172,-3304,13632
0.543,5376,-2028,14092
0.554,5756,-208,14644
0.565,5924,1156,15100
0.582,6064,1308,15296
0.593,6076,308,14860
0.604,5892,-1032,14592
0.615,6288,-744,15060
0.625,6624,716,15760
0.636,6700,2068,15780
0.647,6268,2556,15348
0.658,6112,2524,15148
0.67,5852,1136,15044
0.681,5832,-468,14988
0.695,5864,-852,15020
0.705,5964,-84,15128
0.716,5796,592,14960
0.726,5716,892,14624
0.736,5768,1024,14636
0.746,5888,640,14660
0.757,5824,52,15108
0.767,5824,-176,15132
0.777,5624,60,14972
0.788,5612,256,14860
0.803,5760,500,14988
0.813,5808,668,15012
0.824,5328,8,14668
0.835,5368,-812,14700
0.846,5596,-1192,14576
0.856,5824,-268,14872
0.867,6356,628,15292
0.878,6220,1596,15104
0.889,5236,1444,14808
0.9,4772,416,14448
0.916,4788,-404,14432
0.927,5240,-92,14816
0.937,5640,764,15308
0.948,5832,1492,15300
0.959,5732,2324,15808
0.97,5624,2428,15524
0.981,5484,1604,15312
0.992,5324,640,15000
1.003,4996,-976,14608
1.013,5072,-1316,14616
1.027,5188,-16,15124
1.037,5280,1328,15340
1.048,5508,1916,15540
1.059,5732,2036,15728
1.07,5712,1292,15532
1.08,5684,696,15344
1.09,5368,504,15100
1.1,5248,268,14524
1.111,5220,160,14620
1.121,5540,200,14912
1.142,5464,752,15104
1.152,5652,1048,15208
1.163,5620,1016,15180
1.174,5536,824,15008
1.186,5456,492,14768
1.197,5864,216,14704
1.207,5560,444,15160
